current_pid,cpu_percentage,duration_in_seconds
159295,0.0,0.0891
159299,0.0,0.0538
159297,0.0,0.0755
159300,0.0,0.0480
159294,0.0,0.0677
159302,0.0,0.0528
159303,0.0,0.0846
159295,0.0,0.0459
159298,0.0,0.0749
159301,0.0,0.0646
159300,0.0,0.0578
159297,0.0,0.0624
159299,0.0,0.0643
159294,0.0,0.0640
159302,0.0,0.0633
159296,0.0,0.0902
159295,0.0,0.0505
159298,0.0,0.0521
159300,0.0,0.0546
159303,0.0,0.0997
159301,0.0,0.0711
159299,0.0,0.0647
159297,0.0,0.0726
159294,0.0,0.0687
159296,0.0,0.0671
159302,0.0,0.0761
159295,0.0,0.0829
159298,0.0,0.0706
159303,0.0,0.0832
159300,0.0,0.0897
159299,0.0,0.0972
159301,0.0,0.1047
159297,0.0,0.0972
159298,0.0,0.0680
159302,0.0,0.0964
159295,0.0,0.0803
159294,0.0,0.1194
159303,0.0,0.0703
159296,0.0,0.1240
159300,0.0,0.0778
159299,0.0,0.0653
159297,0.0,0.0666
159301,0.0,0.0793
159302,0.0,0.0602
159298,0.0,0.0618
159294,0.0,0.0626
159299,0.0,0.0500
159300,0.0,0.0598
159296,0.0,0.0718
159303,0.0,0.0743
159295,0.0,0.1014
159297,0.0,0.0584
159302,0.0,0.0529
159298,0.0,0.0688
159294,0.0,0.0557
159301,0.0,0.0790
159299,0.0,0.0571
159296,0.0,0.0500
159303,0.0,0.0625
159300,0.0,0.0785
159295,0.0,0.0681
159297,0.0,0.0668
159302,0.0,0.0662
159298,0.0,0.0611
159299,0.0,0.0514
159294,0.0,0.0753
159303,0.0,0.0529
159300,0.0,0.0557
159301,0.0,0.0932
159295,0.0,0.0509
159296,0.0,0.0873
159302,0.0,0.0559
159297,0.0,0.0611
159298,0.0,0.0721
159299,0.0,0.0758
159294,0.0,0.0761
159303,0.0,0.0700
159296,0.0,0.0535
159301,0.0,0.0631
159300,0.0,0.0714
159297,0.0,0.0571
159295,0.0,0.0714
159302,0.0,0.0730
159298,0.0,0.0593
159296,0.0,0.0531
159294,0.0,0.0620
159299,0.0,0.0723
159297,0.0,0.0528
159301,0.0,0.0578
159300,0.0,0.0598
159295,0.0,0.0529
159303,0.0,0.0945
159298,0.0,0.0648
159302,0.0,0.0776
159296,0.0,0.0543
159294,0.0,0.0573
159297,0.0,0.0547
159301,0.0,0.0558
159299,0.0,0.0723
159295,0.0,0.0651
159300,0.0,0.0713
159303,0.0,0.0495
159302,0.0,0.0508
159296,0.0,0.0678
159298,0.0,0.0834
159297,0.0,0.0946
